x,numeric,exacte
0.003596,55.8733,55.8678
0.0036,55.8706,55.8651
0.003604,55.8679,55.8624
0.003608,55.8652,55.8597
0.003612,55.8625,55.857
0.003616,55.8598,55.8543
0.00362,55.8571,55.8516
0.003624,55.8544,55.8489
0.003628,55.8517,55.8463
0.003632,55.849,55.8436
0.003636,55.8464,55.8409
0.00364,55.8437,55.8382
0.003644,55.841,55.8355
0.003648,55.8383,55.8328
0.003652,55.8356,55.8301
0.003656,55.8329,55.8274
0.00366,55.8302,55.8247
0.003664,55.8275,55.822
0.003668,55.8248,55.8193
0.003672,55.8221,55.8166
0.003676,55.8194,55.814
0.00368,55.8167,55.8113
0.003684,55.8141,55.8086
0.003688,55.8114,55.8059
0.003692,55.8087,55.8032
0.003696,55.806,55.8005
0.0037,55.8033,55.7978
0.003704,55.8006,55.7951
0.003708,55.7979,55.7924
0.003712,55.7952,55.7898
0.003716,55.7926,55.7871
0.00372,55.7899,55.7844
0.003724,55.7872,55.7817
0.003728,55.7845,55.779
0.003732,55.7818,55.7763
0.003736,55.7791,55.7737
0.00374,55.7765,55.771
0.003744,55.7738,55.7683
0.003748,55.7711,55.7656
0.003752,55.7684,55.7629
